cve,repo,commit
CVE-2012-5164,forkcms,641e27bf1e9a7e320d6856399a7c274934bb351e
CVE-2012-5164,forkcms,03e8f5b53f193a87116b3875eec39769d5c07114
CVE-2021-32697,form,69de4219b1f58157e2be6b05811463875d75c246
CVE-2021-32697,form,049d415295be8d4a0478ccba97dba1bb81649567
CVE-2019-8903,framework,de16238d13848149f5d1dae51f54e397a525932b
CVE-2019-8903,framework,c37cafbf3e379a98db71c1125533d1e8d5b5aef7
CVE-2022-37032,frr,6d58272b4cf96f0daa846210dd2104877900f921
CVE-2022-37032,frr,ff6db1027f8f36df657ff2e5ea167773752537ed
CVE-2018-6558,fscrypt,315f9b042237200174a1fb99427f74027e191d66
CVE-2018-6558,fscrypt,3022c1603d968c22f147b4a2c49c4637dd1be91b
CVE-2022-35153,fusionpbx,de22a9121a091e7fedddff22329dd6149dc5ab28
CVE-2022-35153,fusionpbx,07679fe80dadb08ca23d0fc16c0f832348bfec78
CVE-2021-21319,galette,514418da973ae5b84bf97f94bd288a41e8e3f0a6
CVE-2021-21319,galette,8f3bdd9f7d0708466e011253064a867ca2b271a5
CVE-2021-21319,galette,f54b2570615d38d0302e937079233e52c2d80995
CVE-2016-4849,geeklog-ivywe,beba390fd86bd991414ebf73e3482966d7115654
CVE-2016-4849,geeklog-ivywe,41f4677e2eaa587b80eb9801150c1b402344c43d
CVE-2016-4875,geeklog-ivywe,fe20a1bccdfec96125ab3d8dbee6ccbd0767c0be
CVE-2016-4875,geeklog-ivywe,3cdb4ebca5746ff1e02b7e434d5722044d1d09d1
CVE-2022-27311,gibbon,b2eb99ed304d7491a6d348a5bbdc83a008fc6e0b
CVE-2022-27311,gibbon,cade20ca2438cd1b182dad70cbb77fb895779d10
CVE-2016-2315,git,34fa79a6cde56d6d428ab0d3160cb094ebad3305
CVE-2016-2315,git,de1e67d0703894cb6ea782e36abb63976ab07e60
CVE-2018-17456,git,a124133e1e6ab5c7a9fef6d0e6bcb084e3455b46
CVE-2018-17456,git,1a7fd1fb2998002da6e9ff2ee46e1bdd25ee8404
CVE-2019-13578,give,894937d7927eab0c98457656cbd6fb414b3a6fbf
CVE-2019-13578,give,d91f4c6dcc92aeb826b060cb2feadd56885f4cea
CVE-2019-13578,give,97b9b5fae2d10742ee42fe00092729fa7da3cb32
CVE-2021-42836,gjson,77a57fda87dca6d0d7d4627d512a630f89a91c96
CVE-2021-42836,gjson,590010fdac311cc8990ef5c97448d4fec8f29944
CVE-2021-23418,glances,85d5a6b4af31fcf785d5a61086cbbd166b40b07a
CVE-2021-23418,glances,9d6051be4a42f692392049fdbfc85d5dfa458b32
CVE-2021-23418,glances,4b87e979afdc06d98ed1b48da31e69eaa3a9fb94
CVE-2019-13240,glpi,86a43ae47b3dd844947f40a2ffcf1a36e53dbba6
CVE-2019-13240,glpi,5da9f99b2d81713b1e36016b47ce656a33648bc7
CVE-2021-43286,gocd,2b77b533abcbb79c8fc758dec9984305dc1ade42
CVE-2021-43286,gocd,6fa9fb7a7c91e760f1adc2593acdd50f2d78676b
CVE-2021-43289,gocd,4c4bb4780eb0d3fc4cacfc4cfcc0b07e2eaf0595
CVE-2021-43289,gocd,c22e0428164af25d3e91baabd3f538a41cadc82f
CVE-2021-43290,gocd,4c4bb4780eb0d3fc4cacfc4cfcc0b07e2eaf0595
CVE-2021-43290,gocd,c22e0428164af25d3e91baabd3f538a41cadc82f
CVE-2019-20628,gpac,98b727637e32d1d4824101d8947e2dbd573d4fc8
CVE-2019-20628,gpac,1ab4860609f2e7a35634930571e7d0531297e090
CVE-2021-43815,grafana,fd48aee61e4328aae8d5303a9efd045fa0ca308d
CVE-2021-43815,grafana,d6ec6f8ad28f0212e584406730f939105ff6c6d3
CVE-2020-15253,grocy,0df2590de27c60c18b7db6e056347bd2aff5a887
CVE-2020-15253,grocy,0624b0df594a4353ef25e6b1874565ea52ce7772
